latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region
-4.44533,105.84688,338.86,0.55,0.43,2023-09-01,643,N,VIIRS,n,2,302.02,5.59,D,0,sumatra
-4.43758,104.53434,333.56,0.47,0.4,2023-09-01,643,N,VIIRS,n,2,303.01,3.2,D,0,sumatra
-4.4297,105.15881,338.29,0.51,0.41,2023-09-01,643,N,VIIRS,n,2,303.31,3.51,D,0,sumatra
-4.4284,104.59395,335.99,0.47,0.4,2023-09-01,643,N,VIIRS,n,2,303.67,5.56,D,0,sumatra
-4.40643,105.48524,337.26,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,303.91,8.86,D,0,sumatra
-4.40441,105.48309,347.15,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,302.63,13.99,D,0,sumatra
-4.40257,105.48464,331.61,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,300.78,2.58,D,0,sumatra
-4.39349,104.87711,331.41,0.49,0.4,2023-09-01,643,N,VIIRS,l,2,304.78,4.94,D,0,sumatra
-4.3923,104.87772,334.7,0.49,0.4,2023-09-01,643,N,VIIRS,l,2,306.86,6.04,D,0,sumatra
-4.38251,104.16452,341.04,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,309.53,24.33,D,0,sumatra
-4.38064,102.92428,330.48,0.41,0.37,2023-09-01,643,N,VIIRS,n,2,298.77,5,D,0,sumatra
-4.38007,102.92796,332.69,0.41,0.37,2023-09-01,643,N,VIIRS,n,2,299.93,5,D,0,sumatra
-4.37816,105.38853,338.21,0.52,0.42,2023-09-01,643,N,VIIRS,n,2,300.73,8.17,D,0,sumatra
-4.37742,105.39323,335.63,0.52,0.42,2023-09-01,643,N,VIIRS,n,2,302.1,3.66,D,0,sumatra
-4.37432,105.38793,353.36,0.52,0.42,2023-09-01,643,N,VIIRS,n,2,300.55,8.17,D,0,sumatra
-4.37358,105.39262,332.79,0.52,0.42,2023-09-01,643,N,VIIRS,n,2,298.65,3.66,D,0,sumatra
-4.37318,105.67615,331.31,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,299.62,3.19,D,0,sumatra
-4.35847,104.17743,332.68,0.45,0.39,2023-09-01,643,N,VIIRS,l,2,307.52,3.48,D,0,sumatra
-4.35784,104.18149,344.16,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,307.54,6.45,D,0,sumatra
-4.35562,105.50675,342.19,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,306.08,7.8,D,0,sumatra
-4.35244,104.83994,332.15,0.49,0.4,2023-09-01,643,N,VIIRS,l,2,305.72,4.5,D,0,sumatra
-4.34789,105.50555,345.35,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,307.35,13.55,D,0,sumatra
-4.34402,105.50494,331.26,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,305.73,4.18,D,0,sumatra
-4.34326,105.50974,334.72,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,303.36,4.18,D,0,sumatra
-4.34284,104.18337,336.05,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,305.56,4.66,D,0,sumatra
-4.33798,104.191,336.2,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,305.61,3.88,D,0,sumatra
-4.33363,105.37198,339.51,0.52,0.42,2023-09-01,643,N,VIIRS,n,2,301.65,4.91,D,0,sumatra
-4.33313,104.12786,336.08,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,305.55,3.95,D,0,sumatra
