date,time,wind_speed_kmh,wind_direction_degrees
2019-09-01,2019-09-01T00:00,6.8,90
2019-09-01,2019-09-01T01:00,6.8,87
2019-09-01,2019-09-01T02:00,7.2,87
2019-09-01,2019-09-01T03:00,6.9,81
2019-09-01,2019-09-01T04:00,4.7,81
2019-09-01,2019-09-01T05:00,4.8,103
2019-09-01,2019-09-01T06:00,5.4,94
2019-09-01,2019-09-01T07:00,6.2,83
2019-09-01,2019-09-01T08:00,3.7,61
2019-09-01,2019-09-01T09:00,1.4,90
2019-09-01,2019-09-01T10:00,5.6,135
2019-09-01,2019-09-01T11:00,8.6,158
2019-09-01,2019-09-01T12:00,12.7,173
2019-09-01,2019-09-01T13:00,11.9,175
2019-09-01,2019-09-01T14:00,10.1,180
2019-09-01,2019-09-01T15:00,9.9,190
2019-09-01,2019-09-01T16:00,10.7,194
2019-09-01,2019-09-01T17:00,7.6,185
2019-09-01,2019-09-01T18:00,6.3,204
2019-09-01,2019-09-01T19:00,3.6,233
2019-09-01,2019-09-01T20:00,2.6,236
2019-09-01,2019-09-01T21:00,3.8,319
2019-09-01,2019-09-01T22:00,7.4,23
2019-09-01,2019-09-01T23:00,6.4,38
2019-09-02,2019-09-02T00:00,6.8,58
2019-09-02,2019-09-02T01:00,7.5,73
2019-09-02,2019-09-02T02:00,6.4,74
2019-09-02,2019-09-02T03:00,6.4,74
2019-09-02,2019-09-02T04:00,5.5,58
2019-09-02,2019-09-02T05:00,5.8,68
2019-09-02,2019-09-02T06:00,6.3,66
2019-09-02,2019-09-02T07:00,6.5,71
2019-09-02,2019-09-02T08:00,4.3,66
2019-09-02,2019-09-02T09:00,1.9,112
2019-09-02,2019-09-02T10:00,3.6,180
2019-09-02,2019-09-02T11:00,6.5,186
2019-09-02,2019-09-02T12:00,7.6,175
2019-09-02,2019-09-02T13:00,6.4,164
2019-09-02,2019-09-02T14:00,4.5,166
2019-09-02,2019-09-02T15:00,3.4,198
2019-09-02,2019-09-02T16:00,13.5,222
2019-09-02,2019-09-02T17:00,11.2,201
2019-09-02,2019-09-02T18:00,1.1,18
2019-09-02,2019-09-02T19:00,6,33
2019-09-02,2019-09-02T20:00,4,63
2019-09-02,2019-09-02T21:00,5.5,32
2019-09-02,2019-09-02T22:00,8.9,43
2019-09-02,2019-09-02T23:00,6.8,58
2019-09-03,2019-09-03T00:00,5.8,90
2019-09-03,2019-09-03T01:00,6.6,77
2019-09-03,2019-09-03T02:00,5.9,52
2019-09-03,2019-09-03T03:00,2.6,16
2019-09-03,2019-09-03T04:00,4,297
2019-09-03,2019-09-03T05:00,3.3,264
2019-09-03,2019-09-03T06:00,5.2,236
2019-09-03,2019-09-03T07:00,1.8,37
2019-09-03,2019-09-03T08:00,0.8,243
2019-09-03,2019-09-03T09:00,1.1,108
2019-09-03,2019-09-03T10:00,3.3,174
2019-09-03,2019-09-03T11:00,5.8,180
2019-09-03,2019-09-03T12:00,12.2,223
2019-09-03,2019-09-03T13:00,8.3,198
2019-09-03,2019-09-03T14:00,7.9,180
2019-09-03,2019-09-03T15:00,6.9,219
2019-09-03,2019-09-03T16:00,5.7,288
2019-09-03,2019-09-03T17:00,4.1,308
2019-09-03,2019-09-03T18:00,2.9,360
2019-09-03,2019-09-03T19:00,4.8,48
2019-09-03,2019-09-03T20:00,7.1,49
2019-09-03,2019-09-03T21:00,5.3,62
2019-09-03,2019-09-03T22:00,4.7,81
2019-09-03,2019-09-03T23:00,4.8,48
2019-09-04,2019-09-04T00:00,5,60
2019-09-04,2019-09-04T01:00,4.1,75
2019-09-04,2019-09-04T02:00,4.8,63
2019-09-04,2019-09-04T03:00,3.4,288
2019-09-04,2019-09-04T04:00,4.8,193
2019-09-04,2019-09-04T05:00,5.3,208
2019-09-04,2019-09-04T06:00,3.6,174
2019-09-04,2019-09-04T07:00,6.6,139
2019-09-04,2019-09-04T08:00,6.7,106
2019-09-04,2019-09-04T09:00,7,125
2019-09-04,2019-09-04T10:00,6.9,152
2019-09-04,2019-09-04T11:00,8,172
2019-09-04,2019-09-04T12:00,9.7,202
2019-09-04,2019-09-04T13:00,8.7,187
2019-09-04,2019-09-04T14:00,7.2,180
2019-09-04,2019-09-04T15:00,10.1,197
2019-09-04,2019-09-04T16:00,8.1,212
2019-09-04,2019-09-04T17:00,7.2,180
2019-09-04,2019-09-04T18:00,6.8,183
2019-09-04,2019-09-04T19:00,4.5,151
2019-09-04,2019-09-04T20:00,5.9,166
2019-09-04,2019-09-04T21:00,4.6,162
2019-09-04,2019-09-04T22:00,1.8,143
2019-09-04,2019-09-04T23:00,3,76
2019-09-05,2019-09-05T00:00,5.1,82
2019-09-05,2019-09-05T01:00,4.7,81
2019-09-05,2019-09-05T02:00,1.8,90
2019-09-05,2019-09-05T03:00,2.5,98
2019-09-05,2019-09-05T04:00,4.5,76
2019-09-05,2019-09-05T05:00,5.5,67
2019-09-05,2019-09-05T06:00,5.2,65
2019-09-05,2019-09-05T07:00,3.9,34
2019-09-05,2019-09-05T08:00,2.6,74
2019-09-05,2019-09-05T09:00,5.3,118
2019-09-05,2019-09-05T10:00,5.7,125
2019-09-05,2019-09-05T11:00,10.6,156
2019-09-05,2019-09-05T12:00,12.4,170
2019-09-05,2019-09-05T13:00,11.5,180
2019-09-05,2019-09-05T14:00,11.9,185
2019-09-05,2019-09-05T15:00,8.5,192
2019-09-05,2019-09-05T16:00,10.7,213
2019-09-05,2019-09-05T17:00,9.3,193
2019-09-05,2019-09-05T18:00,6.6,202
2019-09-05,2019-09-05T19:00,5,201
2019-09-05,2019-09-05T20:00,7.2,207
2019-09-05,2019-09-05T21:00,6.6,189
2019-09-05,2019-09-05T22:00,5.6,153
2019-09-05,2019-09-05T23:00,4.7,122
2019-09-06,2019-09-06T00:00,4.3,85
2019-09-06,2019-09-06T01:00,3.9,56
2019-09-06,2019-09-06T02:00,2.9,83
2019-09-06,2019-09-06T03:00,2.3,129
2019-09-06,2019-09-06T04:00,2.5,98
2019-09-06,2019-09-06T05:00,0.7,180
2019-09-06,2019-09-06T06:00,3.7,61
2019-09-06,2019-09-06T07:00,1.1,360
2019-09-06,2019-09-06T08:00,2.3,141
2019-09-06,2019-09-06T09:00,2.5,135
2019-09-06,2019-09-06T10:00,2.6,124
2019-09-06,2019-09-06T11:00,3.9,146
2019-09-06,2019-09-06T12:00,6.2,190
2019-09-06,2019-09-06T13:00,6.5,199
2019-09-06,2019-09-06T14:00,6.3,193
2019-09-06,2019-09-06T15:00,6.4,196
2019-09-06,2019-09-06T16:00,7.1,195
2019-09-06,2019-09-06T17:00,7.9,183
2019-09-06,2019-09-06T18:00,8.6,180
2019-09-06,2019-09-06T19:00,7.2,186
2019-09-06,2019-09-06T20:00,3.6,180
2019-09-06,2019-09-06T21:00,4.2,149
2019-09-06,2019-09-06T22:00,4.5,104
2019-09-06,2019-09-06T23:00,4.6,108
