date,time,wind_speed_kmh,wind_direction_degrees
2025-09-05,2025-09-05T20:00,2.4,77
2025-09-05,2025-09-05T21:00,1.5,144
2025-09-05,2025-09-05T22:00,2.2,132
2025-09-05,2025-09-05T23:00,2,80
2025-09-06,2025-09-06T00:00,4.6,72
2025-09-06,2025-09-06T01:00,3.6,93
2025-09-06,2025-09-06T02:00,6.7,126
2025-09-06,2025-09-06T03:00,6.3,93
2025-09-06,2025-09-06T04:00,5.3,62
2025-09-06,2025-09-06T05:00,6.5,44
2025-09-06,2025-09-06T06:00,6.5,46
2025-09-06,2025-09-06T07:00,5.5,41
2025-09-06,2025-09-06T08:00,7,55
2025-09-06,2025-09-06T09:00,5.4,82
2025-09-06,2025-09-06T10:00,8.1,155
2025-09-06,2025-09-06T11:00,7.4,167
2025-09-06,2025-09-06T12:00,7.1,190
2025-09-06,2025-09-06T13:00,6.9,189
2025-09-06,2025-09-06T14:00,7.3,190
2025-09-06,2025-09-06T15:00,8,186
2025-09-06,2025-09-06T16:00,4.8,146
2025-09-06,2025-09-06T17:00,4.7,137
2025-09-06,2025-09-06T18:00,3.8,139
2025-09-06,2025-09-06T19:00,1.4,130
2025-09-06,2025-09-06T20:00,2,180
2025-09-06,2025-09-06T21:00,3.2,93
2025-09-06,2025-09-06T22:00,3.4,96
2025-09-06,2025-09-06T23:00,3.5,81
2025-09-07,2025-09-07T00:00,3.5,75
2025-09-07,2025-09-07T01:00,1.9,119
2025-09-07,2025-09-07T02:00,3.1,69
2025-09-07,2025-09-07T03:00,2.7,37
2025-09-07,2025-09-07T04:00,8.5,238
2025-09-07,2025-09-07T05:00,5.9,121
2025-09-07,2025-09-07T06:00,6.3,66
2025-09-07,2025-09-07T07:00,9.3,50
2025-09-07,2025-09-07T08:00,6,25
2025-09-07,2025-09-07T09:00,5.2,86
2025-09-07,2025-09-07T10:00,6.4,98
2025-09-07,2025-09-07T11:00,4.4,145
2025-09-07,2025-09-07T12:00,7.2,180
2025-09-07,2025-09-07T13:00,8.3,193
2025-09-07,2025-09-07T14:00,7.9,197
2025-09-07,2025-09-07T15:00,8.5,186
2025-09-07,2025-09-07T16:00,9.5,182
2025-09-07,2025-09-07T17:00,8.7,188
2025-09-07,2025-09-07T18:00,7.6,207
2025-09-07,2025-09-07T19:00,4.4,192
2025-09-07,2025-09-07T20:00,5,201
2025-09-07,2025-09-07T21:00,4.2,185
2025-09-07,2025-09-07T22:00,5.2,180
2025-09-07,2025-09-07T23:00,4.4,145
2025-09-08,2025-09-08T00:00,4,120
2025-09-08,2025-09-08T01:00,3.7,125
2025-09-08,2025-09-08T02:00,3.1,90
2025-09-08,2025-09-08T03:00,0.2,360
2025-09-08,2025-09-08T04:00,1.8,79
2025-09-08,2025-09-08T05:00,1.8,24
2025-09-08,2025-09-08T06:00,1.4,50
2025-09-08,2025-09-08T07:00,3,57
2025-09-08,2025-09-08T08:00,3.4,3
2025-09-08,2025-09-08T09:00,1.8,53
2025-09-08,2025-09-08T10:00,3.7,141
2025-09-08,2025-09-08T11:00,8.1,175
2025-09-08,2025-09-08T12:00,8.5,182
2025-09-08,2025-09-08T13:00,6.6,201
2025-09-08,2025-09-08T14:00,8.1,181
2025-09-08,2025-09-08T15:00,6.2,197
2025-09-08,2025-09-08T16:00,6.3,180
2025-09-08,2025-09-08T17:00,7.8,127
2025-09-08,2025-09-08T18:00,9.3,100
2025-09-08,2025-09-08T19:00,4.7,97
2025-09-08,2025-09-08T20:00,2.6,106
2025-09-08,2025-09-08T21:00,6,97
2025-09-08,2025-09-08T22:00,6.3,87
2025-09-08,2025-09-08T23:00,4.6,99
2025-09-09,2025-09-09T00:00,3.7,141
2025-09-09,2025-09-09T01:00,1.5,216
2025-09-09,2025-09-09T02:00,1.9,248
2025-09-09,2025-09-09T03:00,2.2,66
2025-09-09,2025-09-09T04:00,1.9,119
2025-09-09,2025-09-09T05:00,1.4,113
2025-09-09,2025-09-09T06:00,1.9,22
2025-09-09,2025-09-09T07:00,0.7,14
2025-09-09,2025-09-09T08:00,2.8,145
2025-09-09,2025-09-09T09:00,5.8,86
2025-09-09,2025-09-09T10:00,7.6,86
2025-09-09,2025-09-09T11:00,4,87
2025-09-09,2025-09-09T12:00,4.8,115
2025-09-09,2025-09-09T13:00,5.3,142
2025-09-09,2025-09-09T14:00,5.5,148
2025-09-09,2025-09-09T15:00,5.8,141
2025-09-09,2025-09-09T16:00,5.6,147
2025-09-09,2025-09-09T17:00,4.9,172
2025-09-09,2025-09-09T18:00,5.9,192
2025-09-09,2025-09-09T19:00,4.3,197
2025-09-09,2025-09-09T20:00,3.9,193
2025-09-09,2025-09-09T21:00,5.4,132
2025-09-09,2025-09-09T22:00,2.2,90
2025-09-09,2025-09-09T23:00,3.1,62
2025-09-10,2025-09-10T00:00,1.3,106
2025-09-10,2025-09-10T01:00,1.8,90
2025-09-10,2025-09-10T02:00,3.5,51
2025-09-10,2025-09-10T03:00,2.6,65
2025-09-10,2025-09-10T04:00,1.9,61
2025-09-10,2025-09-10T05:00,2.7,32
2025-09-10,2025-09-10T06:00,2.1,15
2025-09-10,2025-09-10T07:00,0,270
2025-09-10,2025-09-10T08:00,0.8,315
2025-09-10,2025-09-10T09:00,1.4,50
2025-09-10,2025-09-10T10:00,2.3,148
2025-09-10,2025-09-10T11:00,2.2,180
2025-09-10,2025-09-10T12:00,2.5,210
2025-09-10,2025-09-10T13:00,3.4,238
2025-09-10,2025-09-10T14:00,4.3,213
2025-09-10,2025-09-10T15:00,2.2,256
2025-09-10,2025-09-10T16:00,3.8,87
2025-09-10,2025-09-10T17:00,6,237
2025-09-10,2025-09-10T18:00,4.6,257
2025-09-10,2025-09-10T19:00,3,253
2025-09-10,2025-09-10T20:00,2.5,240
2025-09-10,2025-09-10T21:00,1.2,231
2025-09-10,2025-09-10T22:00,1.3,146
2025-09-10,2025-09-10T23:00,5,139
2025-09-11,2025-09-11T00:00,3.2,153
2025-09-11,2025-09-11T01:00,1.7,139
2025-09-11,2025-09-11T02:00,1.9,151
2025-09-11,2025-09-11T03:00,1,202
2025-09-11,2025-09-11T04:00,0.6,288
2025-09-11,2025-09-11T05:00,0.4,153
2025-09-11,2025-09-11T06:00,1.5,76
2025-09-11,2025-09-11T07:00,1.7,108
2025-09-11,2025-09-11T08:00,2.1,200
2025-09-11,2025-09-11T09:00,4.9,216
2025-09-11,2025-09-11T10:00,3.7,247
2025-09-11,2025-09-11T11:00,7.2,245
2025-09-11,2025-09-11T12:00,4.9,246
2025-09-11,2025-09-11T13:00,4.4,238
2025-09-11,2025-09-11T14:00,4.7,254
2025-09-11,2025-09-11T15:00,4.5,304
2025-09-11,2025-09-11T16:00,9.5,303
2025-09-11,2025-09-11T17:00,5.4,60
2025-09-11,2025-09-11T18:00,4.2,72
2025-09-11,2025-09-11T19:00,3.3,119
2025-09-11,2025-09-11T20:00,2.5,98
2025-09-11,2025-09-11T21:00,2,153
2025-09-11,2025-09-11T22:00,2.6,129
2025-09-11,2025-09-11T23:00,10.1,311
2025-09-12,2025-09-12T00:00,3.8,245
2025-09-12,2025-09-12T01:00,4,231
2025-09-12,2025-09-12T02:00,2.8,169
2025-09-12,2025-09-12T03:00,3.6,180
2025-09-12,2025-09-12T04:00,4.6,206
2025-09-12,2025-09-12T05:00,4.7,196
2025-09-12,2025-09-12T06:00,2.3,72
2025-09-12,2025-09-12T07:00,2.2,132
2025-09-12,2025-09-12T08:00,2.7,127
2025-09-12,2025-09-12T09:00,5.2,276
