latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region,local_date
-0.03826,103.20892,303.31,0.36,0.57,2019-08-31,1756,N,VIIRS,n,2,289.22,1.3,N,0,sumatra,2019-09-01
0.00262,103.22549,302.55,0.36,0.57,2019-08-31,1756,N,VIIRS,n,2,289.07,0.72,N,0,sumatra,2019-09-01
0.0038,103.25232,323.14,0.36,0.57,2019-08-31,1756,N,VIIRS,n,2,289.73,2.16,N,0,sumatra,2019-09-01
0.08883,103.32594,311.67,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,289.08,1.38,N,0,sumatra,2019-09-01
0.09409,103.32683,309.49,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,289.89,1.38,N,0,sumatra,2019-09-01
0.10113,103.45184,307.54,0.35,0.56,2019-08-31,1756,N,VIIRS,n,2,289.08,1.12,N,0,sumatra,2019-09-01
0.11057,103.35905,305.37,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,289.58,0.49,N,0,sumatra,2019-09-01
0.2568,103.71985,323.23,0.33,0.56,2019-08-31,1756,N,VIIRS,n,2,291.64,1.21,N,0,sumatra,2019-09-01
0.25728,103.71681,304.71,0.33,0.56,2019-08-31,1756,N,VIIRS,n,2,291.03,1.21,N,0,sumatra,2019-09-01
0.41021,103.49331,311.2,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,290.07,1.4,N,0,sumatra,2019-09-01
0.41071,103.49014,305.4,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,289.85,1.53,N,0,sumatra,2019-09-01
0.41495,103.49729,315.85,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,289.37,2.75,N,0,sumatra,2019-09-01
0.41545,103.49412,336.97,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,291.68,2.75,N,0,sumatra,2019-09-01
0.41595,103.49096,320.99,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,291.47,2.45,N,0,sumatra,2019-09-01
0.41646,103.48779,326.89,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,291.68,2.45,N,0,sumatra,2019-09-01
0.4217,103.48859,302.67,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,290.37,2.45,N,0,sumatra,2019-09-01
0.42229,102.1525,311.33,0.43,0.62,2019-08-31,1756,N,VIIRS,n,2,288.99,1.55,N,0,sumatra,2019-09-01
0.427,102.1523,342.63,0.43,0.62,2019-08-31,1756,N,VIIRS,n,2,291.16,4.33,N,0,sumatra,2019-09-01
0.428,102.15349,328.11,0.43,0.62,2019-08-31,1756,N,VIIRS,n,2,289.74,2.83,N,0,sumatra,2019-09-01
0.42861,102.1495,305.26,0.43,0.62,2019-08-31,1756,N,VIIRS,n,2,289.64,2.68,N,3,sumatra,2019-09-01
0.53645,103.20057,305.13,0.37,0.58,2019-08-31,1756,N,VIIRS,n,2,288.81,1.03,N,0,sumatra,2019-09-01
0.63898,103.04956,305.18,0.38,0.58,2019-08-31,1756,N,VIIRS,n,2,289.63,0.93,N,0,sumatra,2019-09-01
0.66611,103.42953,304.09,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,289.8,0.97,N,0,sumatra,2019-09-01
0.66698,103.42932,304.84,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,289.83,1.13,N,0,sumatra,2019-09-01
0.66709,103.42304,317.5,0.36,0.57,2019-08-31,1756,N,VIIRS,n,2,290.15,1.96,N,0,sumatra,2019-09-01
0.66802,103.42285,313.57,0.35,0.57,2019-08-31,1756,N,VIIRS,n,2,289.99,2.17,N,0,sumatra,2019-09-01
0.7385,100.37541,302.65,0.57,0.69,2019-08-31,1756,N,VIIRS,n,2,287.26,0.66,N,0,sumatra,2019-09-01
0.77602,101.42782,303.37,0.49,0.65,2019-08-31,1756,N,VIIRS,n,2,288.68,0.75,N,2,sumatra,2019-09-01
0.84673,102.43318,308.13,0.42,0.61,2019-08-31,1756,N,VIIRS,n,2,290.4,1.21,N,0,sumatra,2019-09-01
0.88365,102.49371,367,0.41,0.61,2019-08-31,1756,N,VIIRS,h,2,290.54,28,N,0,sumatra,2019-09-01
0.88424,102.48993,318.17,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,288.54,28,N,0,sumatra,2019-09-01
0.88869,102.49841,354.86,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,290.16,27.53,N,0,sumatra,2019-09-01
0.88929,102.49462,352.19,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,305.04,28,N,0,sumatra,2019-09-01
0.88988,102.49084,367,0.41,0.61,2019-08-31,1756,N,VIIRS,h,2,294.71,28,N,0,sumatra,2019-09-01
0.89048,102.48705,310.98,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.53,10.25,N,0,sumatra,2019-09-01
0.89373,102.50309,306.44,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,288.79,9.56,N,0,sumatra,2019-09-01
0.89433,102.49931,367,0.41,0.61,2019-08-31,1756,N,VIIRS,h,2,295.07,9.56,N,0,sumatra,2019-09-01
0.89493,102.49553,367,0.41,0.61,2019-08-31,1756,N,VIIRS,h,2,293.6,9.93,N,0,sumatra,2019-09-01
0.89552,102.49174,310.44,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,290.34,9.93,N,0,sumatra,2019-09-01
0.89613,102.48792,301.9,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.75,1.05,N,0,sumatra,2019-09-01
0.89673,102.48412,302.54,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.83,1.05,N,0,sumatra,2019-09-01
0.89679,102.50023,329.71,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,290.38,3.4,N,0,sumatra,2019-09-01
0.89736,102.49644,306.72,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.32,2.16,N,0,sumatra,2019-09-01
0.89908,102.48499,304.59,0.42,0.61,2019-08-31,1756,N,VIIRS,n,2,289.82,1.21,N,0,sumatra,2019-09-01
0.90501,102.50488,310.58,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.15,0.94,N,0,sumatra,2019-09-01
0.9075,102.50583,313.4,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.43,1.34,N,0,sumatra,2019-09-01
0.90807,102.50202,308.79,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.58,1.34,N,0,sumatra,2019-09-01
0.91065,102.50576,301.02,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.13,0.94,N,0,sumatra,2019-09-01
0.91125,102.50193,304.62,0.41,0.61,2019-08-31,1756,N,VIIRS,n,2,289.53,0.94,N,0,sumatra,2019-09-01
