date,pm25_ug_m3,unit,coverage_percent,sensor_id
2025-09-01,32.9,µg/m³,100,11760952
2025-09-02,21.2,µg/m³,100,11760952
2025-09-03,35,µg/m³,100,11760952
2025-09-04,17.5,µg/m³,100,11760952
2025-09-05,18.5,µg/m³,100,11760952
2025-09-06,26.5,µg/m³,100,11760952
2025-09-07,15.9,µg/m³,100,11760952
2025-09-08,24,µg/m³,79,11760952
2025-09-09,13.1,µg/m³,100,11760952
2025-09-10,35.9,µg/m³,100,11760952
2025-09-11,32.2,µg/m³,100,11760952
2025-09-12,15.2,µg/m³,100,11760952
2025-09-13,26.6,µg/m³,100,11760952
2025-09-14,38,µg/m³,100,11760952
2025-09-15,6.28,µg/m³,100,11760952
2025-09-16,6.11,µg/m³,100,11760952
2025-09-17,14.3,µg/m³,100,11760952
2025-09-18,23.7,µg/m³,100,11760952
2025-09-19,32,µg/m³,100,11760952
2025-09-20,53.2,µg/m³,100,11760952
2025-09-21,52.5,µg/m³,100,11760952
2025-09-22,39.4,µg/m³,100,11760952
2025-09-23,44.2,µg/m³,100,11760952
2025-09-24,30.6,µg/m³,100,11760952
2025-09-25,28.1,µg/m³,100,11760952
2025-09-26,41.1,µg/m³,100,11760952
2025-09-27,47.8,µg/m³,92,11760952
2025-09-28,28.4,µg/m³,88,11760952
2025-09-29,18.3,µg/m³,96,11760952
2025-09-30,17.9,µg/m³,96,11760952
2025-10-01,22.5,µg/m³,100,11760952
2025-10-02,30.1,µg/m³,100,11760952
2025-10-03,31.2,µg/m³,100,11760952
2025-10-04,27.2,µg/m³,96,11760952
2025-10-05,30.8,µg/m³,100,11760952
2025-10-06,33,µg/m³,100,11760952
2025-10-07,23.4,µg/m³,100,11760952
2025-10-08,28.8,µg/m³,100,11760952
2025-10-09,16.3,µg/m³,100,11760952
2025-10-10,16.1,µg/m³,100,11760952
2025-10-11,20.9,µg/m³,96,11760952
2025-10-12,18.2,µg/m³,100,11760952
2025-10-13,22.1,µg/m³,100,11760952
2025-10-14,32.4,µg/m³,100,11760952
2025-10-15,24.9,µg/m³,100,11760952
2025-10-16,29.9,µg/m³,100,11760952
2025-10-17,26.1,µg/m³,100,11760952
2025-10-18,22.8,µg/m³,100,11760952
2025-10-19,20.5,µg/m³,100,11760952
2025-10-20,23.1,µg/m³,88,11760952
2025-10-21,10.9,µg/m³,100,11760952
2025-10-22,8.37,µg/m³,100,11760952
2025-10-23,7.25,µg/m³,100,11760952
2025-10-24,3.3,µg/m³,100,11760952
2025-10-25,17,µg/m³,100,11760952
2025-10-26,22.3,µg/m³,96,11760952
2025-10-27,27.6,µg/m³,100,11760952
2025-10-28,29.2,µg/m³,100,11760952
2025-10-29,25.5,µg/m³,100,11760952
2025-10-30,27.6,µg/m³,100,11760952
2025-10-31,26.1,µg/m³,100,11760952
