date,time,wind_speed_kmh,wind_direction_degrees
2023-09-01,2023-09-01T00:00,8.4,280
2023-09-01,2023-09-01T01:00,3.4,252
2023-09-01,2023-09-01T02:00,6.3,59
2023-09-01,2023-09-01T03:00,2.3,51
2023-09-01,2023-09-01T04:00,0.7,360
2023-09-01,2023-09-01T05:00,1.3,124
2023-09-01,2023-09-01T06:00,2.6,106
2023-09-01,2023-09-01T07:00,2.7,67
2023-09-01,2023-09-01T08:00,6,155
2023-09-01,2023-09-01T09:00,9.7,63
2023-09-01,2023-09-01T10:00,8.4,83
2023-09-01,2023-09-01T11:00,8.2,105
2023-09-01,2023-09-01T12:00,6.4,142
2023-09-01,2023-09-01T13:00,8.6,182
2023-09-01,2023-09-01T14:00,9.2,169
2023-09-01,2023-09-01T15:00,9.1,198
2023-09-01,2023-09-01T16:00,9.2,201
2023-09-01,2023-09-01T17:00,6.2,173
2023-09-01,2023-09-01T18:00,2.6,196
2023-09-01,2023-09-01T19:00,4.6,321
2023-09-01,2023-09-01T20:00,9.3,16
2023-09-01,2023-09-01T21:00,7.2,27
2023-09-01,2023-09-01T22:00,4.8,48
2023-09-01,2023-09-01T23:00,4,27
2023-09-02,2023-09-02T00:00,1.1,162
2023-09-02,2023-09-02T01:00,2.7,113
2023-09-02,2023-09-02T02:00,2.3,108
2023-09-02,2023-09-02T03:00,1.8,90
2023-09-02,2023-09-02T04:00,1.5,14
2023-09-02,2023-09-02T05:00,2.4,153
2023-09-02,2023-09-02T06:00,4.1,142
2023-09-02,2023-09-02T07:00,2.9,83
2023-09-02,2023-09-02T08:00,1.4,180
2023-09-02,2023-09-02T09:00,2.9,120
2023-09-02,2023-09-02T10:00,2,135
2023-09-02,2023-09-02T11:00,1.1,288
2023-09-02,2023-09-02T12:00,2,225
2023-09-02,2023-09-02T13:00,4.2,239
2023-09-02,2023-09-02T14:00,6.6,241
2023-09-02,2023-09-02T15:00,8.4,250
2023-09-02,2023-09-02T16:00,9.1,261
2023-09-02,2023-09-02T17:00,8.6,268
2023-09-02,2023-09-02T18:00,7.6,270
2023-09-02,2023-09-02T19:00,6.1,273
2023-09-02,2023-09-02T20:00,4.1,218
2023-09-02,2023-09-02T21:00,1.6,207
2023-09-02,2023-09-02T22:00,1.8,90
2023-09-02,2023-09-02T23:00,3.9,34
2023-09-03,2023-09-03T00:00,4.2,20
2023-09-03,2023-09-03T01:00,3.7,11
2023-09-03,2023-09-03T02:00,4.8,48
2023-09-03,2023-09-03T03:00,4.1,15
2023-09-03,2023-09-03T04:00,4.2,31
2023-09-03,2023-09-03T05:00,3.1,45
2023-09-03,2023-09-03T06:00,5.1,98
2023-09-03,2023-09-03T07:00,3.7,119
2023-09-03,2023-09-03T08:00,3.3,103
2023-09-03,2023-09-03T09:00,4.7,90
2023-09-03,2023-09-03T10:00,6.9,118
2023-09-03,2023-09-03T11:00,8.4,160
2023-09-03,2023-09-03T12:00,9.8,172
2023-09-03,2023-09-03T13:00,9.7,180
2023-09-03,2023-09-03T14:00,13.6,220
2023-09-03,2023-09-03T15:00,8.4,239
2023-09-03,2023-09-03T16:00,6.5,146
2023-09-03,2023-09-03T17:00,6,107
2023-09-03,2023-09-03T18:00,4.3,85
2023-09-03,2023-09-03T19:00,3.1,45
2023-09-03,2023-09-03T20:00,5.6,105
2023-09-03,2023-09-03T21:00,4.7,94
2023-09-03,2023-09-03T22:00,4.9,107
2023-09-03,2023-09-03T23:00,4.7,58
2023-09-04,2023-09-04T00:00,5.2,78
